depth,Fe,Fe_std,time1,time2,lat1,lat2,lon1,lon2
0.494024991989,1.72167774984e-05,9.834568388e-06,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
1.54137504101,1.71743698995e-05,9.83455656623e-06,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
2.64566898346,1.70927820374e-05,9.83832194773e-06,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
3.81949496269,1.69877537402e-05,9.84801419298e-06,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
5.07822418213,1.6864742146e-05,9.86294783297e-06,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
6.44061422348,1.67239945792e-05,9.88319896431e-06,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
7.92956018448,1.65662583079e-05,9.90867874743e-06,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
9.5729970932,1.63918828243e-05,9.93871179661e-06,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
11.404999733,1.62012655693e-05,9.97214305921e-06,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
13.4671401978,1.59945388469e-05,1.0005124352e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
15.8100700378,1.57741771461e-05,1.00333040384e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
18.4955596924,1.55436410221e-05,1.00468930706e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
21.5988197327,1.53079811412e-05,1.00337981825e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
25.2114105225,1.50698692718e-05,9.98070736677e-06,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
29.4447307587,1.48264697149e-05,9.872506662e-06,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
34.4341506958,1.45721438208e-05,9.69480187248e-06,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
40.3440513611,1.43043915179e-05,9.43440973215e-06,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
47.3736915588,1.40357785469e-05,9.09356604717e-06,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
55.764289856,1.37952563661e-05,8.69080525698e-06,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
65.8072662354,1.36492451075e-05,8.25401941051e-06,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
77.8538513184,1.39852349244e-05,8.01834896506e-06,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
92.3260726929,1.59052740299e-05,1.01832520046e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
109.729301453,2.21491718302e-05,2.12353267111e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
130.666000366,3.4650478468e-05,4.09456512141e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
155.850692749,5.72273713653e-05,6.75077158191e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
186.125595093,9.58051164076e-05,9.62927170452e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
222.475204468,0.000157466252911,0.000121505993976,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
266.040313721,0.000244592766995,0.000132573414346,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
318.127410889,0.000350430114682,0.000124198825466,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
380.213012695,0.000461487241633,9.9934951064e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
453.937713623,0.000562336635134,6.93062976451e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
541.088928223,0.000640209176168,4.32931676818e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
643.566772461,0.00068849688657,2.74536676013e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
763.333129883,0.000709897071324,2.23282031734e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
902.339294434,0.000714459958317,2.58546842041e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
1062.43994141,0.00070993502277,3.24121381632e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
1245.29101562,0.00069987325912,3.91353217293e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
1452.25097656,0.000686917362985,4.38900484869e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
1684.28405762,0.000673428261805,4.61544606395e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
1941.89294434,0.000660636133138,4.67373503891e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
2225.07788086,0.000648149061489,4.6980746916e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
2533.3359375,0.000634570303743,4.77653211597e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
2865.70288086,0.00061723738388,4.55290797551e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
3220.82006836,0.000599667825211,4.58136807191e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
3597.03198242,0.000583693512322,4.68396647239e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
3992.48388672,0.00057172860084,4.69031501993e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
4405.22412109,0.000564529896893,4.58835126043e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
4833.29101562,0.000566053958805,4.68058605991e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
5274.78417969,0.000566711246064,4.89327506338e-05,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
5727.91699219,,,2016-04-30,2016-06-30,27.38,48.4,-173.96,-127.46
