time,sla,sla_std,lat1,lat2,lon1,lon2
2016-04-30,-0.016397560975609755,0.018982832521829637,41.3,46.27,-162.04,-151.87
2016-05-01,-0.0172429268292683,0.019194300797903577,41.3,46.27,-162.04,-151.87
2016-05-02,-0.017857073170731735,0.019116420808738294,41.3,46.27,-162.04,-151.87
2016-05-03,-0.019196097560975605,0.019303440560563496,41.3,46.27,-162.04,-151.87
2016-05-04,-0.020152560975609753,0.019832542066339526,41.3,46.27,-162.04,-151.87
2016-05-05,-0.021517926829268303,0.020841592398823383,41.3,46.27,-162.04,-151.87
2016-05-06,-0.02243280487804878,0.021242525584825225,41.3,46.27,-162.04,-151.87
2016-05-07,-0.023529024390243892,0.021616267367888454,41.3,46.27,-162.04,-151.87
2016-05-08,-0.02402878048780488,0.022074271920189268,41.3,46.27,-162.04,-151.87
2016-05-09,-0.023985731707317062,0.022214934725557384,41.3,46.27,-162.04,-151.87
2016-05-10,-0.024250487804878026,0.022338269363360162,41.3,46.27,-162.04,-151.87
2016-05-11,-0.02461878048780487,0.022091606668643682,41.3,46.27,-162.04,-151.87
2016-05-12,-0.024597560975609774,0.021762274128419502,41.3,46.27,-162.04,-151.87
2016-05-13,-0.02419109756097562,0.02152513268277867,41.3,46.27,-162.04,-151.87
2016-05-14,-0.02293073170731707,0.021128345096029583,41.3,46.27,-162.04,-151.87
2016-05-15,-0.021902804878048777,0.020950117030710452,41.3,46.27,-162.04,-151.87
2016-05-16,-0.020517804878048784,0.020686734911062248,41.3,46.27,-162.04,-151.87
2016-05-17,-0.018955731707317066,0.020529005153136465,41.3,46.27,-162.04,-151.87
2016-05-18,-0.0167630487804878,0.020520621581899212,41.3,46.27,-162.04,-151.87
2016-05-19,-0.015673780487804885,0.02054922872808798,41.3,46.27,-162.04,-151.87
2016-05-20,-0.013914634146341464,0.020658215937064194,41.3,46.27,-162.04,-151.87
2016-05-21,-0.011736951219512192,0.020868794446689515,41.3,46.27,-162.04,-151.87
2016-05-22,-0.011209146341463416,0.021116174422115393,41.3,46.27,-162.04,-151.87
2016-05-23,-0.009982804878048774,0.02113589287688193,41.3,46.27,-162.04,-151.87
2016-05-24,-0.008752073170731707,0.020632604166005656,41.3,46.27,-162.04,-151.87
2016-05-25,-0.007604024390243904,0.020710813556988113,41.3,46.27,-162.04,-151.87
2016-05-26,-0.007006097560975605,0.021151278173929786,41.3,46.27,-162.04,-151.87
2016-05-27,-0.0066012195121951224,0.021383464986375573,41.3,46.27,-162.04,-151.87
2016-05-28,-0.0058419512195121955,0.02134437319881671,41.3,46.27,-162.04,-151.87
2016-05-29,-0.005277317073170731,0.020911666597259095,41.3,46.27,-162.04,-151.87
2016-05-30,-0.0039451219512195105,0.02090105215197529,41.3,46.27,-162.04,-151.87
