time_X,NO3,NO3_std_X,time_Y,argo_merge_salinity_adj,argo_merge_salinity_adj_std_Y,lat1,lat2,lon1,lon2,depth1,depth2
2016-04-30,11.4598243575,2.36680070102,2016-04-30,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-01,,,2016-05-01,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-02,,,2016-05-02,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-03,,,2016-05-03,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-04,,,2016-05-04,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-05,,,2016-05-05,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-06,,,2016-05-06,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-07,11.3907107239,2.34715585445,2016-05-07,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-08,,,2016-05-08,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-09,,,2016-05-09,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-10,,,2016-05-10,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-11,,,2016-05-11,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-12,,,2016-05-12,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-13,,,2016-05-13,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-14,11.3164038342,2.33476422779,2016-05-14,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-15,,,2016-05-15,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-16,,,2016-05-16,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-17,,,2016-05-17,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-18,,,2016-05-18,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-19,,,2016-05-19,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-20,,,2016-05-20,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-21,11.1159260009,2.35464486723,2016-05-21,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-22,,,2016-05-22,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-23,,,2016-05-23,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-24,,,2016-05-24,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-25,,,2016-05-25,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-26,,,2016-05-26,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-27,,,2016-05-27,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-28,10.9956372647,2.34527880403,2016-05-28,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-29,,,2016-05-29,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-30,,,2016-05-30,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-05-31,,,2016-05-31,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-01,,,2016-06-01,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-02,,,2016-06-02,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-03,,,2016-06-03,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-04,10.8472144044,2.31256997555,2016-06-04,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-05,,,2016-06-05,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-06,,,2016-06-06,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-07,,,2016-06-07,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-08,,,2016-06-08,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-09,,,2016-06-09,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-10,,,2016-06-10,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-11,10.7171428612,2.29354602083,2016-06-11,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-12,,,2016-06-12,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-13,,,2016-06-13,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-14,,,2016-06-14,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-15,,,2016-06-15,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-16,,,2016-06-16,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-17,,,2016-06-17,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-18,10.5640972464,2.27522884913,2016-06-18,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-19,,,2016-06-19,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-20,,,2016-06-20,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-21,,,2016-06-21,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-22,,,2016-06-22,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-23,,,2016-06-23,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-24,,,2016-06-24,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-25,10.4114065565,2.27290658118,2016-06-25,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-26,,,2016-06-26,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-27,,,2016-06-27,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-28,,,2016-06-28,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-29,,,2016-06-29,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
2016-06-30,,,2016-06-30,,,41.67,49.46,-162.7,-148.26,0.494024991989,5.07822418213
